"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Post Title",Slug,Permalink,"Product URI",Description,Type,Excerpt,"Product Modified",Visibility,Featured,"Product Published",Virtual,Price,"Sale Price","Net Price","Sale Price Dates From","Sale Price Dates To",Weight,"Weight Unit",Height,"Height Unit",Width,"Width Unit",Length,"Length Unit",Category,"Featured Image","Product Gallery","Tax Status","Tax Class","Shipping Class","Download File Name","Download File URL Path","Download Limit","Download Expiry","Download Type","Manage Stock",Quantity,"Stock Status","Sold Individually",Up-Sells,Cross-Sells,"Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Post Author",Username,"User Role","WordPress SEO - Focus Keyword","WordPress SEO - Meta Description","WordPress SEO - SEO Title","WordPress SEO - Noindex","WordPress SEO - Follow","WordPress SEO - Google+ Description","WordPress SEO - Facebook Title","WordPress SEO - Facebook Description","WordPress SEO - Facebook Image","WordPress SEO - Twitter Title","WordPress SEO - Twitter Description","WordPress SEO - Twitter Image","WordPress SEO - Canonical URL"
,,42173,,"CUEVAS TRADITION | ORIGINAL JACKET | BLACK 2.0 | 278","CUEVAS TRADITION | ORIGINAL JACKET | BLACK 2.0 | 278",cuevas-tradition-original-jacket-black-2-0-278,https://cuevaswesternwear.com/shop/men/mens-outerwear/cuevas-tradition-original-jacket-black-2-0-278/,https://cuevaswesternwear.com/shop/men/mens-outerwear/cuevas-tradition-original-jacket-black-2-0-278/,,Variable,,16/03/2025,"Shop and search results",No,13/02/2025,No,99.00,99.00,99.00,,,0,lbs,0,in,0,in,0,in,"Cuevas Tradition|Men|Men>Outerwear",42180,42181|42182|42183,Taxable,,,,,-1,-1,Standard,No,9,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41901,,"CEBU | WORK BOOTS | SQUARE SOFT TOE | COCHISE | COGNAC","CEBU | WORK BOOTS | SQUARE SOFT TOE | COCHISE | COGNAC",cebu-work-boots-square-soft-toe-cochise-cognac,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-square-soft-toe-cochise-cognac/,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-square-soft-toe-cochise-cognac/,"Introducing the Ranger Wellington: a harmonious blend of style and functionality. Featuring a finely-crafted leather upper, this boot seamlessly integrates robust durability with the comfort of an EVA and rubber outsole, offering a lightweight solution for men's workwear. The Square Toe and vivid electric blue stitching introduce a contemporary Western flair, making it an appealing option for today's discerning worker.

Also available in Steel Toe

Industry Recommendations:
<ul>
 	<li>Construction:
<ul>
 	<li>Sheetrock</li>
 	<li>Carpentry</li>
 	<li>Welding</li>
 	<li>Electrical</li>
</ul>
</li>
 	<li>Oil &amp; Gas</li>
 	<li>Agriculture</li>
 	<li>Forestry</li>
</ul>
Not recommended for:
<ul>
 	<li>Plumbing</li>
 	<li>Roofing</li>
</ul>",Variable,,06/02/2025,"Shop and search results",No,05/02/2025,No,169.99,169.99,169.99,,,0,lbs,0,in,0,in,0,in,"Cebu Work Boots|Men|Men>Work Boots",23165,23167|23169|23171,Taxable,,,,,-1,-1,Standard,No,3,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41883,,"CEBU | WORK BOOTS | ADVANT-WP | SQUARE SOFT TOE | TAN","CEBU | WORK BOOTS | ADVANT-WP | SQUARE SOFT TOE | TAN",cebu-work-boots-advant-wp-square-soft-toe-tan,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-advant-wp-square-soft-toe-tan/,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-advant-wp-square-soft-toe-tan/,,Variable,,05/02/2025,"Shop and search results",No,05/02/2025,No,177.96,177.96,177.96,,,0,lbs,0,in,0,in,0,in,"Cebu Work Boots|Men|Men>Work Boots",41897,41898|41899|41900,Taxable,,,,,-1,-1,Standard,No,3,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41868,,"CEBU | WORK BOOTS | WATERPROOF SQR | STEEL TOE | BROWN","CEBU | WORK BOOTS | WATERPROOF SQR | STEEL TOE | BROWN",cebu-work-boots-waterproof-sqr-steel-toe-brown,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-waterproof-sqr-steel-toe-brown/,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-waterproof-sqr-steel-toe-brown/,"The Tumbleweed Waterproof wellington is the right amount of looks and performance. The Square Toe and Cowboy stitching provides a hint of the West.",Variable,,18/03/2025,"Shop and search results",No,05/02/2025,No,179.00,179.00,179.00,,,0,lbs,0,in,0,in,0,in,"Cebu Work Boots|Men|Men>Work Boots",39754,39756|39755,Taxable,,,,,-1,-1,Standard,No,13,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41689,,"CEBU | WORK BOOTS | ATK | ROUND STEEL TOE | SHEDRON","CEBU | WORK BOOTS | ATK | ROUND STEEL TOE | SHEDRON",cebu-work-boots-atk-round-steel-toe-shedron,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-atk-round-steel-toe-shedron/,https://cuevaswesternwear.com/shop/men/work-boots/cebu-work-boots-atk-round-steel-toe-shedron/,"Created to withstand the roughest work environments, the rugged Tractor is meant to tackle the toughest jobs. With a classic leather upper and an ultra-durable rubber outsole, it was made for heavy-duty work.

&nbsp;

Durable Heavy-Duty Sole

With its rubber construction, the Tractor sole withstands the toughest work environments. But don't let its toughness fool you, the Tractor sole still provides our signature comfort for prolonged use.",Variable,,30/03/2025,"Shop and search results",No,06/02/2025,No,109.00,109.00,109.00,,,0,lbs,0,in,0,in,0,in,"Cebu Work Boots|Men|Men>Work Boots",41702,41703|41704|41705|41706,Taxable,,,,,-1,-1,Standard,No,6,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41658,,"LOS ALTOS | WOMEN'S ANKLE BOOTS | WIDE SQUARE TOE | TAN  | 32B6231","LOS ALTOS | WOMEN'S ANKLE BOOTS | WIDE SQUARE TOE | TAN  | 32B6231",los-altos-womens-ankle-boots-wide-square-toe-tan-32b6231,https://cuevaswesternwear.com/shop/hats/los-altos-womens-ankle-boots-wide-square-toe-tan-32b6231/,https://cuevaswesternwear.com/shop/hats/los-altos-womens-ankle-boots-wide-square-toe-tan-32b6231/,"<ul>
 	<li>Hand Made by Master Craftsmen</li>
 	<li>Fine Original Nubuck Leather Skin (Suede)</li>
 	<li>Color: Tan</li>
 	<li>Last: Square Toe</li>
 	<li>Leather sole</li>
 	<li>1.5"" inch high heel</li>
 	<li>Brand: Los Altos Boots</li>
 	<li>Made in Mexico</li>
</ul>",Variable,,02/02/2025,"Shop and search results",No,02/02/2025,No,149.00,149.00,149.00,,,0,lbs,0,in,0,in,0,in,Hats,41574,41575|41576,Taxable,,,,,-1,-1,Standard,No,2,"In Stock",No,,,,,Publish,Open,0,1393,Info,Administrator,,,,,,,,,,,,,
,,41477,,"CUEVAS TRADITION | MEN'S BOOT IMITATION PHYTON BULLDOG | NEON BLUE   027","CUEVAS TRADITION | MEN'S BOOT IMITATION PHYTON BULLDOG | NEON BLUE   027",cuevas-tradition-mens-boot-imitation-phyton-bulldog-neon-blue-027,https://cuevaswesternwear.com/shop/men/mens-boots/cuevas-tradition-mens-boot-imitation-phyton-bulldog-neon-blue-027/,https://cuevaswesternwear.com/shop/men/mens-boots/cuevas-tradition-mens-boot-imitation-phyton-bulldog-neon-blue-027/,"Introducing neon blue imitation python bulldog boots, crafted for those who love bold, eye-catching footwear. Perfect for making a statement while maintaining comfort and durability.

•Material: High-quality imitation python leather.

•Color: Vibrant neon blue with a sleek finish.

•Design: Classic bulldog boot style with a modern twist.

•Versatility: Ideal for casual outings or bold evening looks.

Step into style and confidence with these standout boots!",Variable,,15/01/2025,"Shop and search results",No,09/01/2025,No,139.00,139.00,139.00,,,0,lbs,0,in,0,in,0,in,"Cuevas Tradition|Men|Men>Boots",41494,41491|41492,Taxable,,,,,-1,-1,Standard,No,8,"In Stock",No,,,,,Publish,Open,0,1394,"Cuevas Team 1",Administrator,,,,,,,,,,,,,
,,41358,,"NOCONA | MEN’S EMBOSSED BEADED BELT- MULTI - N210006697","NOCONA | MEN’S EMBOSSED BEADED BELT- MULTI - N210006697",nocona-mens-embossed-beaded-belt-multi-n210006697,https://cuevaswesternwear.com/shop/men/nocona-mens-embossed-beaded-belt-multi-n210006697/,https://cuevaswesternwear.com/shop/men/nocona-mens-embossed-beaded-belt-multi-n210006697/,"The Nocona men’s embossed beaded belt features a striking design with multi-colored beads and embossed leather, creating a vibrant and eye-catching accessory. This belt is crafted with attention to detail, making it both durable and stylish. The intricate beadwork and embossed patterns enhance its western appeal, making it a perfect choice for those looking to add a unique touch to their wardrobe. Versatile enough for both casual and dressier outfits, this belt is a standout piece that adds personality and flair to any look.",Variable,,29/12/2024,"Shop and search results",No,22/11/2024,No,59.00,59.00,59.00,,,0,lbs,0,in,0,in,0,in,Belts|Men|NOCONA,41367,41368|41369,Taxable,,,,,-1,-1,Standard,No,11,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41346,,"NOCONA| MEN’S HAIR DIAMOND WESTERN BELT - N2509408- BROWN","NOCONA| MEN’S HAIR DIAMOND WESTERN BELT - N2509408- BROWN",nocona-mens-hair-diamond-western-belt-n2509408-brown,https://cuevaswesternwear.com/shop/men/nocona-mens-hair-diamond-western-belt-n2509408-brown/,https://cuevaswesternwear.com/shop/men/nocona-mens-hair-diamond-western-belt-n2509408-brown/,"Nocona men’s hair-on-hide diamond western belt in brown, featuring a striking diamond pattern and premium craftsmanship. A perfect blend of rugged style and sophistication.

&nbsp;",Variable,,10/02/2025,"Shop and search results",No,22/11/2024,No,89.00,89.00,89.00,,,0,lbs,0,in,0,in,0,in,Belts|Men|NOCONA,41355,41356,Taxable,,,,,-1,-1,Standard,No,2,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41333,,"NOCONA | MENS HAIR ONHIDE- N2506808 - BROWN","NOCONA | MENS HAIR ONHIDE- N2506808 - BROWN",nocona-mens-hair-onhide-n2506808-brown,https://cuevaswesternwear.com/shop/men/nocona-mens-hair-onhide-n2506808-brown/,https://cuevaswesternwear.com/shop/men/nocona-mens-hair-onhide-n2506808-brown/,"Nocona men’s hair-on-hide belt in brown, featuring a unique texture and stylish design. Perfect for adding a rugged yet refined touch to any outfit.",Variable,,25/01/2025,"Shop and search results",No,22/11/2024,No,79.00,79.00,79.00,,,0,lbs,0,in,0,in,0,in,Belts|Men|NOCONA,41342,41343|41344,Taxable,,,,,-1,-1,Standard,No,5,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41322,,"CUEVAS TRADITION | MEN'S BELTS EMBROIDERY BELT SILVER IMITATION | BLACK/GREY 104","CUEVAS TRADITION | MEN'S BELTS EMBROIDERY BELT SILVER IMITATION | BLACK/GREY 104",cuevas-tradition-embroidery-belt-silver-imitation-different-designs-2in,https://cuevaswesternwear.com/shop/men/cuevas-tradition-embroidery-belt-silver-imitation-different-designs-2in/,https://cuevaswesternwear.com/shop/men/cuevas-tradition-embroidery-belt-silver-imitation-different-designs-2in/,"The Cuevas Tradition embroidery belt showcases intricate silver imitation details, enhancing its unique designs with a western flair. With a 2-inch width, this belt combines style and durability, making it an ideal accessory for both casual and dressier outfits. Perfect for adding a touch of elegance and authenticity to your western wardrobe, this belt reflects craftsmanship and timeless appeal.",Variable,,09/01/2025,"Shop and search results",No,22/11/2024,No,48.00,48.00,48.00,,,0,lbs,0,in,0,in,0,in,"Belts|Cuevas Tradition|Men",41330,41331,Taxable,,,,,-1,-1,Standard,No,2,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41311,,"CUEVAS TRADITION | MEN’S BELTS BULL SHOULDER | BLACK CHERRY 116","CUEVAS TRADITION | MEN’S BELTS BULL SHOULDER | BLACK CHERRY 116",cuevas-tradition-mens-bull-shoulder-belt-black-cherry,https://cuevaswesternwear.com/shop/men/cuevas-tradition-mens-bull-shoulder-belt-black-cherry/,https://cuevaswesternwear.com/shop/men/cuevas-tradition-mens-bull-shoulder-belt-black-cherry/,"The Cuevas Tradition men’s belt is crafted from high-quality bull shoulder leather in a rich black cherry tone. Its classic design and meticulously detailed finish make it a must-have accessory for those seeking style and functionality. Perfect for pairing with both casual and formal outfits, this belt offers timeless elegance and long-lasting durability.",Variable,,09/01/2025,"Shop and search results",No,22/11/2024,No,59.00,59.00,59.00,,,0,lbs,0,in,0,in,0,in,"Belts|Cuevas Tradition|Men",41319,41320,Taxable,,,,,-1,-1,Standard,No,9,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
,,41305,,"NOCONA | LADY BELT DESIGN PEARL | TURQUOISE/BROWN 528","NOCONA | LADY BELT DESIGN PEARL | TURQUOISE/BROWN 528",nocona-woman-belt-design-pearl-turquoise-brown,https://cuevaswesternwear.com/shop/women/womens-belts/nocona-woman-belt-design-pearl-turquoise-brown/,https://cuevaswesternwear.com/shop/women/womens-belts/nocona-woman-belt-design-pearl-turquoise-brown/,"The Nocona women’s belt combines elegance and western charm. Crafted from high-quality brown leather, it features intricate pearl inlays and turquoise accents that create a striking and unique design. This belt is perfect for adding a touch of sophistication to any outfit while staying true to a classic western style. Durable and versatile, it’s an accessory you’ll love to wear on any occasion.",Variable,,23/01/2025,"Shop and search results",No,22/11/2024,No,55.00,55.00,55.00,,,0,lbs,0,in,0,in,0,in,Women|Women>Belts,41308,41309,Taxable,,,,,-1,-1,Standard,No,16,"In Stock",No,,,,,Publish,Open,0,1,roycuevas,Administrator,,,,,,,,,,,,,
